,Nombre,Nacimiento,year,month,day,trimestre
0,"Abascal Escuza, Santiago",30/10/1949,1949,10,30,4
1,"Acebes Paniagua, Ángel Jesús",03/07/1958,1958,3,7,1
2,"Acevedo Fernández, Gervasio",03/11/1941,1941,3,11,1
3,"Acín Boned, Luis",29/11/1948,1948,11,29,4
4,"Acosta Cubero, José",24/05/1947,1947,5,24,2
5,"Aguado del Olmo, María Josefa",18/09/1958,1958,9,18,3
6,"Aguilar Belda, Manuel Ángel",16/05/1949,1949,5,16,2
7,"Aguirre Rodríguez, Ramón",03/03/1953,1953,3,3,1
8,"Albendea Pabón, Juan Manuel",08/06/1937,1937,8,6,3
9,"Alberdi Alonso, Cristina",22/02/1946,1946,2,22,1
10,"Albiach Chisbert, Miguel Ramón",01/07/1966,1966,1,7,1
11,"Alborch Bataller, Carmen",31/10/1947,1947,10,31,4
12,"Alcaraz Masats, Luis Felipe",01/03/1943,1943,1,3,1
13,"Almunia Amann, Joaquín",17/06/1948,1948,6,17,2
14,"Alonso Aranegui, Alfonso",14/04/1967,1967,4,14,2
15,"Álvarez Álvarez, Amador",24/02/1945,1945,2,24,1
16,"Álvarez-Cascos Fernández, Francisco",01/10/1947,1947,1,10,1
17,"Amador Millán, María Ángeles",10/10/1949,1949,10,10,4
18,"Amarillo Doblado, Francisco",29/01/1941,1941,1,29,1
19,"Anasagasti Olabeaga, Iñaki Mirena",16/11/1947,1947,11,16,4
20,"Robles Fraga, José María",10/04/1956,1956,10,4,4
21,"Robles Orozco, Gonzalo",20/04/1959,1959,4,20,2
22,"Rodríguez Bolaños, Tomás",01/01/1944,1944,1,1,1
23,"Rodríguez Callao, Berta",17/10/1959,1959,10,17,4
24,"Rodríguez Díaz, Inés María",13/03/1956,1956,3,13,1
25,"Rodríguez López, Mª Dolores",13/12/1953,1953,12,13,4
26,"Rodríguez Sánchez, Francisco",22/11/1945,1945,11,22,4
27,"Rodríguez Zapatero, José Luis",04/08/1960,1960,4,8,2
28,"Rodríguez-Salmones Cabeza, Beatriz",20/05/1944,1944,5,20,2
29,"Rogado Hernández, María Encarnación",18/04/1963,1963,4,18,2
30,"Román Jasanada, Antonio",21/06/1965,1965,6,21,2
31,"Romay Beccaría, José Manuel",18/01/1934,1934,1,18,1
32,"Romero Girón, Aurelio",25/12/1947,1947,12,25,4
33,"Romero López, Carmen",15/11/1946,1946,11,15,4
34,"Romero Sánchez, Rosa María",14/02/1970,1970,2,14,1
35,"Romeu Martí, Francesc Joaquim",21/05/1974,1974,5,21,2
36,"Rubiales Torrejón, Amparo",20/10/1945,1945,10,20,4
37,"Rudi Úbeda, Luisa Fernanda",13/12/1950,1950,12,13,4
38,"Ruiz López, Antero",13/11/1950,1950,11,13,4
39,"Ruiz López, Juan Carlos",04/06/1967,1967,4,6,2
40,"Ruiz Ruiz, María Jesús",05/06/1960,1960,5,6,2
41,"Rumí Ibáñez, María Consuelo",31/10/1957,1957,10,31,4
42,"Rupérez Rubio, Francisco Javier",24/04/1941,1941,4,24,2
43,"Sabaté Ibarz, Francesc Xavier",07/07/1953,1953,7,7,3
44,"Sagarna Alberdi, María Teresa",23/03/1943,1943,3,23,1
45,"Sainz García, María Jesús",01/09/1949,1949,1,9,1
46,"Salord Torrent, Juan",26/12/1948,1948,12,26,4
47,"Sánchez Díaz, María Carmen",10/10/1968,1968,10,10,4
